"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2023","588.50","595.30","597.70","583.20","1.39M","-0.88%"
"04/18/2023","593.70","594.20","603.90","593.20","969.24K","0.02%"
"04/17/2023","593.60","605.60","608.00","593.60","1.34M","-1.95%"
"04/14/2023","605.40","603.00","614.00","602.60","1.60M","0.67%"
"04/13/2023","601.40","607.00","608.80","601.40","1.57M","-0.76%"
"04/12/2023","606.00","606.90","617.00","604.00","2.14M","0.25%"
"04/11/2023","604.50","608.60","609.20","602.20","1.31M","-0.51%"
"04/10/2023","607.60","604.20","611.20","602.10","1.43M","1.05%"
"04/07/2023","601.30","610.40","611.90","600.40","809.21K","-1.26%"
"04/06/2023","609.00","594.40","611.60","594.40","1.58M","1.86%"
"04/05/2023","597.90","608.80","615.30","597.30","1.62M","-1.19%"
"04/04/2023","605.10","584.30","609.00","583.50","1.45M","3.38%"
"04/03/2023","585.30","584.80","590.40","564.60","1.58M","0.07%"
"03/31/2023","584.90","597.90","597.90","582.00","1.14M","-2.19%"
"03/30/2023","598.00","602.30","609.10","598.00","1.11M","-0.85%"
"03/29/2023","603.10","589.90","604.10","575.50","1.58M","2.20%"
"03/28/2023","590.10","603.00","610.80","588.00","1.89M","-2.20%"
"03/27/2023","603.40","602.40","607.60","591.80","1.19M","0.25%"
"03/24/2023","601.90","607.60","608.50","588.40","1.42M","-0.48%"
"03/23/2023","604.80","591.40","605.70","586.10","1.65M","2.25%"
"03/22/2023","591.50","570.00","593.60","566.40","1.63M","4.34%"
"03/21/2023","566.90","558.00","580.10","553.60","1.92M","1.96%"
"03/20/2023","556.00","569.60","569.60","552.80","1.26M","-2.61%"
"03/17/2023","570.90","588.00","590.40","569.60","1.42M","-2.24%"
"03/16/2023","584.00","584.40","586.90","572.30","1.42M","0.19%"
"03/15/2023","582.90","582.40","587.70","573.00","1.41M","0.15%"
"03/14/2023","582.00","607.80","607.90","580.50","1.54M","-4.26%"
"03/13/2023","607.90","604.10","609.40","594.00","1.52M","1.19%"
"03/10/2023","600.75","597.62","601.63","592.45","1.50M","0.57%"
"03/09/2023","597.33","611.49","615.30","591.27","1.60M","-2.29%"
"03/08/2023","611.30","602.90","617.84","596.84","1.51M","1.41%"
"03/07/2023","602.80","602.70","619.31","599.38","1.78M","0.05%"
"03/06/2023","602.51","575.35","608.37","573.20","2.42M","4.83%"
"03/03/2023","574.77","570.47","582.39","552.59","2.86M","-0.14%"
"03/02/2023","575.55","578.28","581.80","568.03","1.98M","0.84%"
"03/01/2023","570.76","542.73","574.86","541.46","2.48M","6.02%"
"02/28/2023","538.33","543.61","547.71","533.45","1.92M","-0.79%"
"02/27/2023","542.63","523.29","544.09","511.86","1.93M","3.79%"
"02/24/2023","522.80","527.88","530.03","522.31","1.02M","-0.96%"
"02/23/2023","527.88","523.29","533.74","521.63","1.36M","0.82%"
"02/22/2023","523.58","536.96","542.14","520.65","2.21M","-0.37%"
"02/21/2023","525.53","538.72","540.19","525.34","1.93M","-2.98%"
"02/20/2023","541.65","536.18","544.78","527.39","1.65M","1.02%"
"02/17/2023","536.18","538.43","550.93","527.49","2.14M","-0.74%"
"02/16/2023","540.19","576.23","576.33","527.49","3.51M","2.48%"
"02/15/2023","527.10","524.56","527.10","498.38","1.62M","14.36%"
"02/08/2023","460.90","490.20","490.20","460.90","217.12K","-3.82%"
"02/07/2023","479.23","523.58","523.58","472.98","2.42M","-8.81%"
"02/06/2023","525.53","512.84","531.30","497.89","1.05M","0.56%"
"02/03/2023","522.60","498.48","522.90","491.05","3.63M","5.11%"
