"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2021","1,393.63","1,384.93","1,396.25","1,378.72","2.75B","0.61%"
"11/04/2021","1,385.15","1,371.25","1,386.56","1,371.25","3.49B","2.05%"
"11/03/2021","1,357.39","1,342.87","1,357.39","1,308.66","3.85B","1.05%"
"11/02/2021","1,343.27","1,348.72","1,354.86","1,339.61","2.24B","-0.25%"
"11/01/2021","1,346.58","1,334.74","1,349.15","1,327.34","2.21B","0.91%"
"10/28/2021","1,334.48","1,333.01","1,337.37","1,330.44","906.36M","0.02%"
"10/27/2021","1,334.15","1,328.00","1,335.83","1,319.68","2.58B","0.45%"
"10/26/2021","1,328.20","1,322.50","1,331.52","1,322.50","1.94B","1.02%"
"10/25/2021","1,314.78","1,298.59","1,317.12","1,294.94","2.56B","0.87%"
"10/22/2021","1,303.45","1,281.97","1,308.26","1,279.82","2.38B","1.70%"
"10/21/2021","1,281.61","1,260.63","1,281.61","1,247.17","3.11B","1.67%"
"10/20/2021","1,260.53","1,258.94","1,264.51","1,255.51","1.99B","0.29%"
"10/19/2021","1,256.88","1,252.62","1,261.66","1,252.62","1.73B","0.79%"
"10/18/2021","1,247.01","1,241.45","1,248.11","1,237.91","1.86B","0.56%"
"10/15/2021","1,240.03","1,247.76","1,251.42","1,228.61","2.41B","-0.20%"
"10/14/2021","1,242.48","1,242.76","1,251.59","1,238.48","1.60B","-0.10%"
"10/13/2021","1,243.74","1,249.74","1,259.99","1,238.75","2.23B","-0.13%"
"10/12/2021","1,245.40","1,237.68","1,250.25","1,236.75","1.85B","0.11%"
"10/11/2021","1,244.09","1,229.03","1,247.24","1,229.03","1.47B","1.47%"
"10/08/2021","1,226.06","1,226.72","1,233.03","1,222.43","1.75B","0.02%"
"10/07/2021","1,225.76","1,213.76","1,226.80","1,213.76","1.82B","2.03%"
"10/06/2021","1,201.39","1,218.96","1,220.13","1,201.22","2.00B","-1.49%"
"10/05/2021","1,219.57","1,222.96","1,223.72","1,216.56","1.41B","-0.14%"
