,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
66,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
67,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
68,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
69,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,
70,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,
71,Dönem Sonu Bakiyeler,,850.000.000,23.141.145,1.312.460,,,,,,27.187.388,-320.746.811,517.681.157,,1.098.575.339,0,1.098.575.339,
72,Dönem Sonu Bakiyeler,,,,,,,,,,,,,,,,,
73,,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
74,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
75,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
76,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
77,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
78,Dönem Başı Bakiyeler,Cari Dönem 01.01.2022 - 31.12.2022,,850.000.000,23.141.145,1.312.460,,,,,,27.187.388,-320.746.811,517.681.157,,1.098.575.339,,1.098.575.339
