Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA 30,SMA 100,Buy_Signal_price,Sell_Signal_price,balance_try,balance_stock,calc_balance_try,balance_try_al_yat,balance_stock_al_yat,calc_balance_try_al_yat,company,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Buy_Signal_price,MACD_Sell_Signal_price,positive
2023-08-07 11:30:00+03:00,53.5,53.599998474121094,53.20000076293945,53.5,6508984,0.0,0.0,53.688332875569664,50.77859973907471,,,0.0,1987.1961875287795,106314.9960327897,0,2146.8440547232963,114856.15692769636,SISE CAM,0.2788095838215767,-0.10283888519969248,0.3816484690212692,,,False
2023-08-07 12:30:00+03:00,53.5,53.79999923706055,53.349998474121094,53.650001525878906,4763798,0.0,0.0,53.728332901000975,50.82049976348877,,,0.0,1987.1961875287795,106314.9960327897,0,2146.8440547232963,114856.15692769636,SISE CAM,0.23844853094284701,-0.11455995046273781,0.35300848140558483,,,False
2023-08-07 13:30:00+03:00,53.650001525878906,53.849998474121094,53.54999923706055,53.70000076293945,4928442,0.0,0.0,53.74833297729492,50.8626997756958,,,0.0,1987.1961875287795,106613.07849313976,0,2146.8440547232963,115178.1868117289,SISE CAM,0.20809780436812986,-0.11592854162996402,0.3240263459980939,,,False
2023-08-07 14:30:00+03:00,53.70000076293945,53.70000076293945,53.04999923706055,53.25,7287381,0.0,0.0,53.76166636149089,50.9051997756958,,,0.0,1987.1961875287795,106712.43678640583,0,2146.8440547232963,115285.52737655304,SISE CAM,0.146049763377178,-0.14238126609673268,0.2884310294739107,,,False
2023-08-07 15:30:00+03:00,53.25,53.599998474121094,53.20000076293945,53.5,4942154,0.0,0.0,53.78833300272624,50.95059978485107,,,0.0,1987.1961875287795,105818.19698590752,0,2146.8440547232963,114319.44591401552,SISE CAM,0.11571526102384411,-0.13817261476005327,0.2538878757838974,,,True
2023-08-07 16:30:00+03:00,53.5,53.650001525878906,53.29999923706055,53.45000076293945,7413590,0.0,0.0,53.80999972025553,50.99809978485107,,,0.0,1987.1961875287795,106314.9960327897,0,2146.8440547232963,114856.15692769636,SISE CAM,0.08664167746555762,-0.1337969586546718,0.22043863612022943,,,True
2023-08-07 17:30:00+03:00,53.45000076293945,53.45000076293945,53.04999923706055,53.099998474121094,7394043,0.0,0.0,53.789999643961586,51.0396997833252,,,0.0,1987.1961875287795,106215.63773952363,0,2146.8440547232963,114748.81636287221,SISE CAM,0.03495544876098933,-0.14838654988739208,0.1833419986483814,,,False
2023-08-08 09:30:00+03:00,53.5,53.70000076293945,52.54999923706055,52.54999923706055,0,0.0,0.0,53.74833297729492,51.0771997833252,,,0.0,1987.1961875287795,105520.11452555745,0,2146.8440547232963,113997.41602998297,SISE CAM,-0.049812395474049254,-0.18652351529794453,0.13671111982389528,,,False
2023-08-08 10:30:00+03:00,52.54999923706055,52.900001525878906,52.349998474121094,52.45000076293945,11470170,0.0,0.0,53.693333053588866,51.11549980163574,,,0.0,1987.1961875287795,104427.158138527,0,2146.8440547232963,112816.65343779718,SISE CAM,-0.12363537227783183,-0.2082771936813817,0.08464182140354987,,,False
2023-08-08 11:30:00+03:00,52.45000076293945,52.45000076293945,51.849998474121094,52.04999923706055,10950790,0.0,0.0,53.64333305358887,51.146999778747556,,,0.0,1987.1961875287795,104228.44155199487,0,2146.8440547232963,112601.97230814892,SISE CAM,-0.21197389038762537,-0.2372925694329402,0.025318679045314818,,,False
