,LEVEL1,LEVEL2,LEVEL3,TARİH,DEĞER
83,VARLIKLAR,DURAN VARLIKLAR,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,31.12.2022,
84,VARLIKLAR,DURAN VARLIKLAR,Diğer Sözleşme Varlıkları,31.12.2022,
85,VARLIKLAR,DURAN VARLIKLAR,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,31.12.2022,
86,VARLIKLAR,DURAN VARLIKLAR,Türev Araçlar,31.12.2022,57.048
87,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Türev Araçlar,31.12.2022,
88,VARLIKLAR,DURAN VARLIKLAR,Riskten Korunma Amaçlı Türev Araçlar,31.12.2022,
89,VARLIKLAR,DURAN VARLIKLAR,Stoklar,31.12.2022,
90,VARLIKLAR,DURAN VARLIKLAR,Özkaynak Yöntemiyle Değerlenen Yatırımlar,31.12.2022,2.962.632
91,VARLIKLAR,DURAN VARLIKLAR,Canlı Varlıklar,31.12.2022,
92,VARLIKLAR,DURAN VARLIKLAR,Yatırım Amaçlı Gayrimenkuller,31.12.2022,
93,VARLIKLAR,DURAN VARLIKLAR,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,31.12.2022,
94,VARLIKLAR,DURAN VARLIKLAR,Maddi Duran Varlıklar,31.12.2022,32.904.315
95,VARLIKLAR,DURAN VARLIKLAR,Arazi ve Arsalar,31.12.2022,
96,VARLIKLAR,DURAN VARLIKLAR,Yeraltı ve Yerüstü Düzenlemeleri,31.12.2022,
97,VARLIKLAR,DURAN VARLIKLAR,Binalar,31.12.2022,
98,VARLIKLAR,DURAN VARLIKLAR,"Tesis, Makine ve Cihazlar",31.12.2022,
99,VARLIKLAR,DURAN VARLIKLAR,Taşıtlar,31.12.2022,
100,VARLIKLAR,DURAN VARLIKLAR,Mobilya ve Demirbaşlar,31.12.2022,
101,VARLIKLAR,DURAN VARLIKLAR,Özel Maliyetler,31.12.2022,
102,VARLIKLAR,DURAN VARLIKLAR,Taşıyıcı Bitkiler,31.12.2022,
103,VARLIKLAR,DURAN VARLIKLAR,Özel Tükenmeye Tabi Varlıklar,31.12.2022,
